subject_name,course_name,absolute_course_url
Mathematics Courses,Calculus 1B: Integration,https://www.classcentral.com/course/edx-calculus-1b-integration-2648
Mathematics Courses,Introduction to Renormalization,https://www.classcentral.com/course/complexity-explorer-introduction-to-renormalization-11490
Mathematics Courses,Probabilistic Graphical Models ,https://www.classcentral.com/course/probabilistic-graphical-models-18689
Mathematics Courses,BetOnMath for citizens,https://www.classcentral.com/course/polimi-open-knowledge-betonmath-for-citizens-4981
Mathematics Courses,Intro to Descriptive Statistics,https://www.classcentral.com/course/udacity-intro-to-descriptive-statistics-2309
Mathematics Courses,Transfer Functions and the Laplace Transform,https://www.classcentral.com/course/edx-transfer-functions-and-the-laplace-transform-8507
Mathematics Courses,Multivariable Calculus 1: Vectors and Derivatives,https://www.classcentral.com/course/multivariable-calculus-1-vectors-and-derivatives-40676
Mathematics Courses,Introducción a las ecuaciones diferenciales,https://www.classcentral.com/course/edx-introduccion-a-las-ecuaciones-diferenciales-11997
Mathematics Courses,Imaginary Numbers are Real,https://www.classcentral.com/course/youtube-imaginary-numbers-are-real-45679/classroom
Mathematics Courses,A Crash Course in Causality:  Inferring Causal Effects from Observational Data,https://www.classcentral.com/course/crash-course-in-causality-8425
Mathematics Courses,Introduction to Differential Equations,https://www.classcentral.com/course/complexity-explorer-introduction-to-differential-equations-11477
Mathematics Courses,Cálculo Diferencial,https://www.classcentral.com/course/edx-calculo-diferencial-4938
Mathematics Courses,Maximum Entropy Methods,https://www.classcentral.com/course/complexity-explorer-maximum-entropy-methods-11479
Mathematics Courses,Mathematics for Machine Learning: Linear Algebra,https://www.classcentral.com/course/linear-algebra-machine-learning-10453
Mathematics Courses,Hypothesis Testing in Public Health ,https://www.classcentral.com/course/hypothesis-testing-public-health-12760
Mathematics Courses,Summary Statistics in Public Health ,https://www.classcentral.com/course/summary-statistics-12762
Mathematics Courses,Multiple Regression Analysis in Public Health ,https://www.classcentral.com/course/multiple-regression-analysis-public-heal-12765
Mathematics Courses,Linear Algebra,https://www.classcentral.com/course/youtube-mathematics-linear-algebra-47548/classroom
Mathematics Courses,Introduction to Information Theory,https://www.classcentral.com/course/complexity-explorer-introduction-to-information-theory-11488
Mathematics Courses,Multivariable calculas,https://www.classcentral.com/course/youtube-multivariable-calculas-47843/classroom
Mathematics Courses,Probability and Statistics,https://www.classcentral.com/course/youtube-core-probability-and-statistics-47639/classroom
Mathematics Courses,Mathematics - Probability and Statistics,https://www.classcentral.com/course/youtube-mathematics-probability-and-statistics-47584/classroom
Mathematics Courses,Probability Foundation for Electrical Engineers,https://www.classcentral.com/course/youtube-electrical-probability-foundation-for-electrical-engineers-47547/classroom
Mathematics Courses,Introduction to probability and Statistics,https://www.classcentral.com/course/youtube-introduction-to-probability-and-statistics-47427/classroom
Mathematics Courses,Calculus of One Real Variable,https://www.classcentral.com/course/youtube-calculus-of-one-real-variable-47854/classroom
Mathematics Courses,Probability and Stochastics for finance,https://www.classcentral.com/course/youtube-probability-and-stochastics-for-finance-47889/classroom
